age,education,career,sleep_hours,exercise,risk_tolerance,location,income_2040,happiness_score,health_score,relationship_stability
43,PhD,Artist,8.0,Daily,3,Suburban,73700,6.5,84,46
40,PhD,Engineer,6.5,3-5x/week,9,Suburban,100500,7.2,78,100
18,Master's,Doctor,9.9,1-2x/week,7,Suburban,100700,7.7,81,80
37,Master's,Other,4.2,Daily,0,Rural,64800,5.4,89,30
54,Master's,Artist,8.7,Rarely,7,Suburban,70100,7.4,64,73
25,Master's,Engineer,9.3,3-5x/week,1,Rural,80500,4.9,83,35
62,Bachelor's,Engineer,7.7,Daily,3,Urban,86300,5.7,88,51
52,Bachelor's,Educator,7.0,Rarely,1,Rural,71300,5.3,66,37
40,PhD,Educator,9.3,Rarely,8,Rural,90000,6.9,65,60
37,High School,Doctor,6.2,Rarely,10,Rural,89800,7.7,64,78
48,PhD,Artist,7.1,1-2x/week,4,Suburban,76200,6.4,75,53
38,Master's,Doctor,8.2,Daily,8,Suburban,109200,7.6,95,78
64,Bachelor's,Engineer,7.6,3-5x/week,0,Rural,85600,4.6,78,52
44,Master's,Doctor,6.3,Rarely,4,Urban,109600,5.8,64,47
62,Master's,Other,8.7,3-5x/week,6,Urban,77800,6.2,78,65
61,Bachelor's,Doctor,4.0,Daily,9,Suburban,108900,7.5,74,58
62,PhD,Engineer,7.0,3-5x/week,9,Rural,109300,6.5,83,84
58,Master's,Entrepreneur,8.3,Daily,8,Urban,92200,8.1,79,65
50,High School,Other,7.3,Rarely,4,Suburban,52000,5.9,68,51
35,High School,Artist,6.3,3-5x/week,0,Urban,39000,4.2,83,68
33,Master's,Artist,7.6,3-5x/week,9,Urban,62700,7.2,91,68
25,High School,Other,7.7,3-5x/week,7,Rural,43500,5.6,85,52
45,High School,Educator,5.0,1-2x/week,10,Rural,63000,5.6,71,98
50,High School,Artist,9.6,Daily,2,Suburban,46000,4.7,92,70
19,Master's,Other,5.2,Daily,7,Urban,61100,6.0,86,66
49,High School,Artist,6.1,1-2x/week,10,Urban,49600,8.2,73,82
51,High School,Other,7.5,3-5x/week,4,Rural,52400,7.9,80,62
54,Master's,Engineer,8.4,Daily,2,Rural,92600,6.6,85,40
63,Bachelor's,Artist,5.7,1-2x/week,3,Urban,61700,4.3,74,47
49,PhD,Engineer,7.0,Rarely,5,Rural,102100,5.6,64,80
29,Bachelor's,Other,6.2,1-2x/week,6,Rural,54600,8.5,75,81
19,Master's,Doctor,7.3,3-5x/week,1,Rural,98100,5.3,70,67
44,PhD,Entrepreneur,7.4,Rarely,8,Urban,96600,6.3,72,74
47,Master's,Entrepreneur,8.5,3-5x/week,4,Rural,85800,6.6,81,76
34,Bachelor's,Artist,4.4,Rarely,7,Urban,52100,5.6,59,66
19,Bachelor's,Doctor,8.7,3-5x/week,10,Urban,92600,6.1,84,70
57,Bachelor's,Engineer,5.9,3-5x/week,2,Urban,83800,6.7,79,56
36,PhD,Educator,6.2,Daily,9,Urban,88900,7.6,81,66
43,Master's,Artist,5.2,1-2x/week,9,Urban,66700,5.1,72,89
64,Bachelor's,Entrepreneur,5.2,1-2x/week,0,Rural,80600,4.5,74,43
52,Bachelor's,Entrepreneur,6.2,Rarely,7,Urban,79300,5.6,74,67
40,Bachelor's,Other,9.7,1-2x/week,9,Suburban,60500,7.9,82,80
63,Master's,Other,6.5,3-5x/week,2,Suburban,76200,6.2,73,46
54,Bachelor's,Entrepreneur,7.4,Rarely,0,Rural,76600,3.8,61,39
61,Bachelor's,Educator,5.9,Rarely,8,Urban,78400,5.1,67,80
62,PhD,Engineer,10.0,1-2x/week,5,Urban,107300,6.3,87,70
61,Bachelor's,Artist,6.4,Daily,5,Suburban,61900,5.2,83,73
62,High School,Educator,7.7,Rarely,4,Rural,66800,5.8,62,57
28,PhD,Doctor,7.3,3-5x/week,10,Urban,116200,8.0,80,82
47,PhD,Entrepreneur,7.8,Rarely,8,Suburban,97800,5.9,67,91
43,High School,Engineer,8.4,3-5x/week,5,Rural,69700,5.7,85,56
29,High School,Entrepreneur,7.4,3-5x/week,5,Suburban,59100,5.2,74,67
53,Master's,Entrepreneur,8.3,Rarely,5,Urban,88700,4.7,62,61
40,Master's,Educator,4.9,Rarely,7,Rural,79500,6.0,56,78
54,High School,Artist,10.0,3-5x/week,2,Rural,47600,5.7,87,53
61,PhD,Doctor,8.0,Daily,10,Rural,129400,7.2,86,78
39,PhD,Entrepreneur,7.8,Rarely,2,Rural,91600,6.3,67,51
31,Bachelor's,Entrepreneur,4.0,Rarely,9,Urban,71900,6.3,64,72
56,Master's,Other,7.8,Rarely,5,Suburban,74900,6.5,53,80
50,Bachelor's,Artist,7.5,Daily,6,Urban,58000,6.1,81,68
57,High School,Educator,5.7,1-2x/week,5,Suburban,65300,5.9,77,56
59,PhD,Educator,7.5,3-5x/week,0,Urban,93600,4.7,84,50
53,Master's,Other,8.5,3-5x/week,0,Rural,71200,6.2,82,45
27,Master's,Other,9.5,3-5x/week,5,Rural,63300,6.7,90,60
22,PhD,Doctor,4.0,Rarely,1,Suburban,109300,3.9,58,51
53,Master's,Doctor,4.6,1-2x/week,4,Urban,113200,5.4,63,55
40,Master's,Artist,8.0,1-2x/week,9,Urban,65500,7.0,76,100
42,Master's,Other,8.3,Rarely,10,Suburban,71800,6.5,67,87
21,Bachelor's,Doctor,8.8,1-2x/week,9,Rural,92900,8.0,74,72
53,Master's,Artist,7.1,Daily,7,Suburban,69700,7.5,76,85
26,High School,Engineer,7.9,Rarely,9,Rural,64900,6.4,60,60
42,PhD,Doctor,4.7,1-2x/week,10,Rural,121800,3.5,61,77
61,High School,Educator,6.7,3-5x/week,8,Rural,68400,6.8,64,73
41,High School,Entrepreneur,8.6,Rarely,10,Suburban,66400,6.8,62,85
37,Bachelor's,Doctor,10.0,Rarely,5,Urban,97300,5.3,82,65
30,Master's,Entrepreneur,5.0,3-5x/week,7,Urban,80500,3.9,74,72
46,Master's,Entrepreneur,4.8,1-2x/week,7,Urban,86900,7.2,61,78
64,High School,Educator,10.0,3-5x/week,0,Urban,65600,7.8,91,29
21,High School,Educator,7.4,3-5x/week,6,Suburban,51400,6.1,75,77
36,Master's,Other,5.3,3-5x/week,6,Rural,67400,7.4,74,78
20,Master's,Doctor,8.1,3-5x/week,7,Suburban,101500,5.6,81,69
20,High School,Engineer,7.2,1-2x/week,7,Suburban,61500,7.4,73,67
31,PhD,Educator,8.9,3-5x/week,3,Suburban,83900,6.6,74,49
35,PhD,Other,7.5,Rarely,1,Suburban,74500,4.1,58,44
19,High School,Entrepreneur,6.5,1-2x/week,3,Rural,54100,5.4,66,76
47,PhD,Engineer,8.4,3-5x/week,2,Urban,99800,5.5,86,55
49,Master's,Educator,6.5,1-2x/week,8,Rural,83600,6.4,83,80
56,PhD,Engineer,7.9,Rarely,3,Urban,103900,4.7,71,70
23,PhD,Artist,4.6,1-2x/week,0,Urban,64200,4.8,68,24
29,Master's,Entrepreneur,7.4,Rarely,8,Urban,80600,7.7,78,71
34,PhD,Engineer,4.2,3-5x/week,9,Urban,98100,4.7,64,67
60,Master's,Artist,6.7,3-5x/week,3,Suburban,70500,6.7,73,69
52,High School,Engineer,6.8,Rarely,7,Suburban,74300,6.9,64,72
50,High School,Educator,7.4,1-2x/week,2,Rural,61000,3.8,71,57
62,Master's,Engineer,7.6,Rarely,1,Suburban,95300,4.3,65,70
60,PhD,Doctor,5.6,1-2x/week,2,Rural,125000,7.3,73,61
61,Bachelor's,Other,6.5,Rarely,10,Suburban,69400,6.2,62,86
64,PhD,Artist,8.0,Rarely,0,Rural,80600,6.6,72,60
23,PhD,Educator,9.0,3-5x/week,8,Rural,83200,8.2,85,76
40,Bachelor's,Entrepreneur,5.1,3-5x/week,6,Rural,74000,8.2,77,65
40,PhD,Other,8.0,3-5x/week,3,Suburban,77500,6.7,78,67
59,Bachelor's,Doctor,9.0,3-5x/week,7,Suburban,107100,8.3,80,67
51,Bachelor's,Entrepreneur,7.1,1-2x/week,9,Suburban,79900,7.8,72,78
32,Bachelor's,Entrepreneur,7.3,Daily,5,Rural,70300,7.5,89,50
33,Bachelor's,Doctor,8.5,Daily,1,Urban,93700,5.5,90,53
52,PhD,Educator,7.0,1-2x/week,7,Suburban,94300,5.8,70,55
47,High School,Other,4.5,1-2x/week,4,Suburban,50800,3.3,59,59
21,PhD,Other,8.0,1-2x/week,0,Rural,68400,6.9,74,41
21,Bachelor's,Entrepreneur,8.5,Rarely,7,Suburban,66900,6.6,78,64
42,PhD,Other,6.9,3-5x/week,7,Suburban,80300,6.4,79,75
62,PhD,Educator,6.4,Daily,9,Urban,99300,6.5,79,88
22,Bachelor's,Engineer,5.1,1-2x/week,8,Suburban,72800,6.6,68,62
35,PhD,Doctor,5.8,Daily,2,Suburban,115000,5.5,78,48
64,PhD,Educator,6.8,3-5x/week,7,Suburban,99100,7.5,75,67
26,Master's,Artist,6.9,Daily,8,Urban,59400,6.4,79,75
41,PhD,Other,6.6,Daily,1,Suburban,76900,5.2,80,55
34,PhD,Educator,8.4,Rarely,2,Suburban,84600,5.9,73,44
44,PhD,Entrepreneur,7.6,3-5x/week,7,Rural,96100,7.2,83,82
50,PhD,Doctor,6.6,3-5x/week,10,Urban,125000,6.6,79,73
24,Bachelor's,Artist,8.6,Daily,9,Suburban,49100,7.2,85,68
47,High School,Educator,9.4,1-2x/week,6,Rural,61800,7.3,82,49
57,Bachelor's,Educator,8.1,Daily,7,Urban,76300,5.4,85,72
36,PhD,Doctor,7.4,Rarely,1,Rural,114900,6.9,70,38
47,Bachelor's,Entrepreneur,8.2,3-5x/week,3,Suburban,75300,6.6,79,60
44,Bachelor's,Entrepreneur,7.7,Daily,0,Urban,72600,4.6,76,59
43,Master's,Entrepreneur,10.0,3-5x/week,3,Rural,83700,5.8,92,58
40,PhD,Artist,4.4,Rarely,3,Urban,72500,4.4,51,37
56,PhD,Artist,8.9,3-5x/week,10,Rural,82400,7.7,88,93
44,High School,Educator,4.2,3-5x/week,9,Rural,62100,5.4,72,80
52,Master's,Doctor,7.1,3-5x/week,1,Urban,111300,5.0,78,64
25,High School,Doctor,6.4,1-2x/week,4,Suburban,82000,5.1,72,50
24,High School,Other,5.6,3-5x/week,4,Suburban,41600,5.7,75,48
47,Bachelor's,Engineer,6.0,Daily,5,Urban,81300,7.5,79,60
39,PhD,Educator,4.6,3-5x/week,7,Urban,89100,6.2,75,70
34,Bachelor's,Educator,6.3,Rarely,5,Urban,66100,3.4,67,54
50,Master's,Doctor,8.4,Daily,8,Rural,114000,7.9,86,62
39,Master's,Educator,6.1,Rarely,7,Suburban,79100,5.0,57,71
30,Bachelor's,Engineer,4.9,Daily,5,Urban,74500,4.3,88,71
32,Bachelor's,Entrepreneur,6.3,3-5x/week,0,Rural,67800,4.3,78,58
26,High School,Educator,7.1,3-5x/week,1,Suburban,50900,4.6,85,58
64,Bachelor's,Educator,7.2,Rarely,9,Urban,80100,7.8,63,91
58,PhD,Other,6.7,Daily,1,Rural,83700,3.9,78,47
49,Master's,Other,10.0,3-5x/week,1,Suburban,70100,6.0,78,64
58,High School,Other,5.7,Daily,2,Urban,54200,5.0,78,58
32,PhD,Educator,6.6,Rarely,4,Suburban,84800,4.0,67,70
37,Master's,Educator,9.1,1-2x/week,3,Rural,76300,7.0,93,62
49,PhD,Entrepreneur,6.4,Daily,1,Rural,95100,5.1,88,52
51,Master's,Other,7.9,1-2x/week,2,Suburban,71400,6.8,79,57
29,PhD,Engineer,6.0,3-5x/week,4,Suburban,93600,3.2,73,65
25,Master's,Other,9.5,1-2x/week,9,Urban,64500,6.0,80,74
62,Master's,Educator,5.7,3-5x/week,7,Suburban,88300,5.9,85,79
56,High School,Artist,6.5,Rarely,8,Suburban,51400,5.3,68,71
22,High School,Entrepreneur,8.7,Daily,7,Urban,57300,6.2,80,65
48,Bachelor's,Engineer,7.1,1-2x/week,9,Urban,83700,5.5,69,81
22,PhD,Doctor,8.0,3-5x/week,0,Rural,108800,3.9,77,36
45,Bachelor's,Engineer,6.5,1-2x/week,0,Rural,78000,6.9,70,67
64,High School,Engineer,6.5,3-5x/week,3,Urban,77100,5.8,77,58
54,Master's,Educator,6.8,Rarely,4,Rural,83600,4.7,72,69
37,High School,Engineer,8.4,Rarely,7,Urban,68300,7.2,56,100
61,Master's,Educator,5.4,1-2x/week,3,Suburban,85900,5.2,66,65
25,Bachelor's,Entrepreneur,6.1,Daily,4,Rural,67000,7.4,81,61
35,PhD,Entrepreneur,8.4,Rarely,7,Urban,92500,7.1,64,73
42,Bachelor's,Doctor,8.7,Rarely,2,Suburban,97800,7.1,71,74
45,Master's,Artist,7.5,Rarely,8,Suburban,67000,5.6,63,76
48,PhD,Artist,7.8,Rarely,5,Suburban,76700,6.6,71,52
23,High School,Doctor,8.2,Daily,0,Urban,79200,5.0,87,39
42,Bachelor's,Entrepreneur,8.7,Daily,9,Suburban,76300,5.8,95,68
46,Bachelor's,Educator,4.7,Daily,0,Rural,68400,4.0,77,49
28,High School,Artist,9.5,Daily,9,Urban,40700,8.6,89,93
38,PhD,Doctor,7.1,Daily,5,Suburban,117700,7.2,76,66
53,Bachelor's,Engineer,9.1,1-2x/week,5,Urban,83700,7.2,82,74
60,Master's,Entrepreneur,6.6,1-2x/week,10,Urban,94000,7.3,67,75
30,Master's,Other,5.9,3-5x/week,3,Suburban,63500,5.0,72,49
44,Bachelor's,Artist,7.1,Daily,7,Urban,56100,7.2,88,55
35,Bachelor's,Engineer,7.5,3-5x/week,9,Rural,78500,6.9,79,75
48,Bachelor's,Entrepreneur,7.5,1-2x/week,6,Suburban,77200,6.7,79,61
59,High School,Artist,6.8,Daily,5,Urban,51100,6.7,84,78
62,Bachelor's,Engineer,7.7,1-2x/week,6,Rural,87800,6.5,76,90
45,Bachelor's,Educator,5.9,Daily,9,Suburban,72500,5.8,79,66
59,Bachelor's,Doctor,6.6,Daily,9,Suburban,108100,7.4,78,66
41,PhD,Entrepreneur,6.6,1-2x/week,9,Urban,95900,7.9,76,83
27,High School,Artist,10.0,Daily,0,Rural,35800,4.7,93,54
38,High School,Doctor,8.8,3-5x/week,10,Urban,90200,9.2,79,66
42,High School,Artist,5.8,Rarely,5,Urban,44300,7.3,70,60
28,High School,Doctor,7.5,1-2x/week,9,Suburban,85700,6.4,75,79
53,High School,Educator,6.1,Daily,10,Rural,66200,5.7,88,64
30,PhD,Engineer,5.9,Rarely,4,Suburban,94000,5.5,62,55
25,PhD,Educator,7.5,1-2x/week,5,Suburban,82500,7.0,73,49
39,Bachelor's,Artist,8.0,3-5x/week,1,Urban,51100,7.4,71,46
39,Bachelor's,Engineer,7.8,Rarely,8,Urban,79600,6.9,63,62
47,PhD,Engineer,9.4,Daily,0,Urban,98800,5.4,77,45
40,Bachelor's,Entrepreneur,5.4,1-2x/week,4,Suburban,73000,5.0,75,69
18,PhD,Artist,7.1,3-5x/week,5,Rural,64700,7.3,83,58
49,PhD,Artist,7.2,Rarely,5,Urban,77100,5.9,62,60
62,High School,Other,5.9,3-5x/week,10,Rural,59800,6.4,77,63
20,High School,Entrepreneur,5.3,Rarely,3,Rural,54500,2.9,62,73
54,High School,Artist,7.0,Rarely,0,Urban,46600,2.5,64,49
52,Master's,Artist,7.6,Rarely,5,Urban,68300,8.2,63,60
31,High School,Artist,6.7,1-2x/week,1,Urban,37900,4.4,71,47
31,High School,Artist,7.1,Daily,8,Suburban,41400,6.8,80,100
50,Master's,Doctor,7.0,1-2x/week,5,Rural,112500,6.8,71,74
52,Bachelor's,Educator,5.4,Daily,4,Rural,72800,5.0,80,51
21,Master's,Educator,7.8,1-2x/week,3,Urban,69900,5.9,70,57
23,High School,Entrepreneur,4.5,3-5x/week,2,Rural,55200,5.9,67,58
42,Master's,Doctor,7.2,Rarely,8,Urban,110800,6.3,58,71
38,High School,Engineer,6.4,Rarely,2,Urban,66200,4.5,65,46
50,PhD,Doctor,7.2,Rarely,0,Suburban,120000,5.1,60,42
46,PhD,Educator,7.7,1-2x/week,6,Suburban,91400,8.7,79,74
52,High School,Educator,5.2,Rarely,6,Suburban,63800,3.9,64,75
19,Bachelor's,Doctor,6.7,3-5x/week,5,Urban,90100,4.9,82,57
56,Master's,Other,4.7,Rarely,9,Suburban,76900,7.1,54,76
28,High School,Engineer,8.8,Rarely,6,Rural,64200,6.6,65,73
35,PhD,Educator,4.0,3-5x/week,3,Suburban,85500,4.3,71,69
59,PhD,Entrepreneur,6.0,Daily,0,Rural,98600,5.7,83,48
57,Master's,Other,10.0,Rarely,1,Urban,73300,5.5,65,31
32,Bachelor's,Educator,6.8,Daily,2,Suburban,63800,6.3,80,55
25,High School,Artist,7.4,Daily,2,Rural,36000,5.1,78,46
28,High School,Engineer,6.1,Rarely,9,Urban,65700,7.7,63,69
49,High School,Educator,6.8,Daily,0,Rural,59600,4.2,88,42
42,Master's,Educator,6.7,3-5x/week,8,Suburban,80800,6.4,75,74
27,Master's,Artist,6.0,Daily,7,Rural,59300,7.0,81,60
49,High School,Other,8.1,Daily,1,Rural,50100,6.1,84,44
57,Bachelor's,Other,5.8,3-5x/week,7,Suburban,66300,6.2,67,51
42,Bachelor's,Doctor,6.2,Daily,3,Suburban,98300,4.6,81,56
63,Bachelor's,Other,5.2,3-5x/week,6,Suburban,68200,6.8,79,59
38,Master's,Educator,5.1,Rarely,10,Urban,80200,6.7,65,72
42,Master's,Artist,6.9,1-2x/week,3,Rural,63300,5.5,71,64
40,High School,Artist,7.7,Rarely,10,Suburban,46000,7.9,69,88
20,Bachelor's,Engineer,7.8,Daily,6,Suburban,71000,4.7,90,70
54,Bachelor's,Educator,6.8,Daily,7,Urban,75100,5.1,87,61
18,Bachelor's,Doctor,5.7,3-5x/week,9,Urban,91700,5.8,69,87
38,Master's,Doctor,8.1,3-5x/week,10,Rural,110200,8.8,76,94
26,PhD,Engineer,6.8,Daily,9,Rural,94900,6.8,85,80
31,PhD,Educator,4.8,3-5x/week,2,Suburban,83400,3.6,74,68
36,Bachelor's,Doctor,9.6,Rarely,7,Urban,97900,6.8,66,67
55,Master's,Other,9.5,Rarely,4,Rural,74000,5.8,66,50
34,PhD,Doctor,6.2,Rarely,2,Suburban,114600,7.7,63,49
21,Bachelor's,Engineer,7.0,1-2x/week,1,Rural,68900,4.5,72,53
36,Bachelor's,Entrepreneur,5.8,Rarely,5,Urban,71900,5.6,66,73
55,Bachelor's,Engineer,7.8,1-2x/week,2,Rural,83000,5.1,69,54
50,Bachelor's,Doctor,6.9,Daily,10,Urban,105000,6.8,86,86
62,Master's,Engineer,7.7,Rarely,3,Urban,96300,4.7,63,61
23,Bachelor's,Educator,7.5,1-2x/week,9,Urban,63700,5.6,75,59
62,Bachelor's,Entrepreneur,6.4,1-2x/week,4,Suburban,81800,6.1,70,66
38,PhD,Other,5.2,3-5x/week,5,Suburban,77700,2.6,72,66
56,Master's,Engineer,4.0,Rarely,8,Rural,96400,5.5,55,70
48,PhD,Educator,6.9,Daily,4,Suburban,91200,6.6,78,53
52,Master's,Artist,8.3,Rarely,9,Rural,70300,6.5,71,68
59,PhD,Entrepreneur,6.3,3-5x/week,8,Suburban,102600,7.1,74,73
37,Bachelor's,Educator,8.6,Daily,4,Urban,66800,8.3,75,70
24,Master's,Engineer,6.8,Daily,7,Rural,83100,6.1,78,72
65,PhD,Artist,4.7,Daily,8,Urban,85000,5.4,81,73
22,Bachelor's,Engineer,5.3,3-5x/week,7,Rural,72300,6.5,69,60
38,PhD,Entrepreneur,4.6,3-5x/week,8,Urban,94200,7.0,70,72
39,High School,Other,8.5,Daily,1,Suburban,46100,8.3,92,30
56,Bachelor's,Doctor,7.6,Rarely,5,Urban,104900,8.0,67,60
27,PhD,Other,7.7,Daily,1,Suburban,71300,6.3,84,64
56,Bachelor's,Other,5.9,3-5x/week,7,Urban,65900,6.1,75,62
52,Master's,Doctor,6.0,3-5x/week,3,Urban,112300,4.5,84,61
39,High School,Educator,5.5,Daily,10,Suburban,60600,7.0,81,86
45,Bachelor's,Other,6.9,Rarely,7,Suburban,61500,5.6,59,55
52,Bachelor's,Educator,7.4,Rarely,8,Rural,74800,6.0,60,71
22,Master's,Artist,4.3,Daily,8,Urban,57800,6.0,87,84
26,Master's,Doctor,8.1,Daily,7,Urban,103900,6.5,72,81
23,High School,Engineer,6.0,1-2x/week,2,Suburban,60200,6.1,75,53
60,Bachelor's,Educator,6.2,1-2x/week,4,Rural,76000,5.0,76,67
54,Bachelor's,Doctor,10.0,1-2x/week,5,Rural,104100,5.8,75,76
18,PhD,Educator,7.4,3-5x/week,4,Rural,79200,5.9,75,73
45,Bachelor's,Doctor,6.7,Rarely,6,Suburban,101000,7.1,65,60
20,High School,Artist,9.7,1-2x/week,1,Suburban,33500,6.2,76,40
52,High School,Engineer,7.5,Daily,3,Urban,72300,5.5,86,66
26,Bachelor's,Engineer,6.9,Daily,2,Suburban,71400,3.1,84,66
65,Master's,Educator,8.3,Daily,0,Rural,86000,5.9,83,45
58,High School,Entrepreneur,5.8,1-2x/week,10,Urban,73200,7.2,77,95
39,PhD,Engineer,8.2,Daily,10,Suburban,100600,8.0,81,83
33,PhD,Engineer,6.5,Rarely,7,Urban,96700,5.6,60,76
25,Master's,Educator,8.3,Rarely,5,Urban,72500,6.0,63,63
63,Master's,Engineer,7.5,1-2x/week,0,Suburban,95200,5.4,78,56
30,PhD,Educator,7.4,Daily,5,Rural,84500,6.9,88,83
44,PhD,Educator,4.7,Daily,3,Suburban,89100,3.5,74,55
36,Master's,Other,6.2,Daily,7,Rural,67900,6.1,84,64
63,High School,Engineer,7.3,Daily,8,Urban,79200,7.0,89,94
36,High School,Doctor,7.6,3-5x/week,7,Urban,87900,8.4,71,76
31,Bachelor's,Doctor,4.6,1-2x/week,10,Rural,97400,7.1,72,95
21,Master's,Other,5.2,1-2x/week,7,Suburban,61900,4.6,74,64
47,PhD,Educator,4.6,3-5x/week,1,Suburban,89300,4.0,83,61
65,PhD,Other,7.5,3-5x/week,0,Urban,86000,6.3,80,67
26,PhD,Entrepreneur,8.5,Rarely,7,Urban,88900,7.4,64,73
29,PhD,Other,5.3,Rarely,2,Rural,72600,4.8,59,65
57,PhD,Doctor,6.9,Daily,8,Urban,126800,7.2,78,81
24,High School,Engineer,6.5,Rarely,2,Urban,60600,4.7,65,57
51,Bachelor's,Other,7.5,Daily,7,Urban,63900,6.5,81,72
42,PhD,Doctor,8.2,Rarely,2,Suburban,117800,6.0,65,35
57,High School,Doctor,4.0,Rarely,3,Suburban,94300,3.3,58,44
55,PhD,Educator,7.4,1-2x/week,0,Suburban,92000,5.4,80,44
59,Bachelor's,Educator,7.6,3-5x/week,8,Rural,77600,6.6,77,82
34,PhD,Engineer,6.5,Rarely,6,Urban,96600,5.3,60,68
28,High School,Artist,6.9,1-2x/week,0,Urban,36200,4.4,81,42
25,Master's,Entrepreneur,7.4,3-5x/week,0,Suburban,75000,5.6,77,51
62,High School,Other,6.4,1-2x/week,3,Suburban,56300,6.0,68,36
35,PhD,Educator,7.3,Rarely,7,Rural,87500,5.7,63,71
32,Bachelor's,Engineer,6.2,Rarely,8,Urban,76800,7.9,66,77
30,Bachelor's,Entrepreneur,7.3,Daily,2,Urban,68000,6.2,81,59
19,PhD,Other,8.9,3-5x/week,7,Suburban,71100,7.1,85,80
29,High School,Entrepreneur,6.8,Daily,9,Suburban,61100,4.9,82,62
41,Master's,Educator,8.5,1-2x/week,5,Rural,78900,6.9,75,75
62,PhD,Entrepreneur,5.6,3-5x/week,9,Suburban,104300,5.3,69,81
